,max,mean,median,min,rmse,sse,std
kitti_dso_00.txt,91.79201091786422,40.61979114081693,37.79447485608924,8.434839374903708,45.538615042385615,895866.6787107505,20.58635537570941
kitti_dso_01.txt,53.529556722132504,18.749115049475996,18.028583700031376,3.74729312544743,21.764647453375407,36474.89066526849,11.053079373244062
kitti_dso_02.txt,18.065784107377592,6.157515446587835,5.974430939239687,0.5274518640372832,7.170488606249052,1902.3885535368563,3.6743584987558946
kitti_dso_05.txt,151.5572055255482,87.17698837411322,82.14498065482411,46.77139902761867,91.40957332751348,3751713.833067211,27.493322715484766
kitti_dso_07.txt,35.285426298200626,12.69256377830228,12.230797518087186,0.5392796141486451,14.859361706075312,36873.70526210022,7.726542243831089
kitti_ldso_00.txt,22.975089683493284,9.533793147351474,7.881187980299603,2.128489195231412,10.738124187478837,459960.86384114926,4.94106256682023
kitti_ldso_01.txt,30.577211549986906,7.62730667878995,4.6220427774178745,0.7596244778243584,10.801857618878635,103145.23316837735,7.648811727726902
kitti_ldso_02.txt,18.065784107377592,6.157515446587835,5.974430939239687,0.5274518640372832,7.170488606249052,1902.3885535368563,3.6743584987558946
kitti_ldso_05.txt,8.609384743053829,3.95949370178935,4.085380050866933,0.4496019756140497,4.224080437538326,38183.71086157911,1.4714840020484252
kitti_ldso_07.txt,3.435296002141064,1.733785869755825,1.7483432409980655,0.09083565020291573,1.9138297058936187,2816.6502460906977,0.8103892280848085
kitti_orbslam2_00.txt,77.97592752209175,16.52417274365437,13.517409140050066,2.812514322916406,20.2553952411317,433256.7744114306,11.71463834321533
kitti_orbslam2_01.txt,2.3787843667815536,1.1284590838796904,1.1388368652794436,0.47802334697844395,1.2247402576629713,46.4996496609512,0.47599243139967107
kitti_orbslam2_02.txt,87.93894377876963,23.15311366735981,17.99129016220291,5.357366117650269,29.583502256735184,1430050.011835134,18.41512783774721
kitti_orbslam2_05.txt,10.029927982195986,5.312461161002783,5.683251460250766,0.29016186400160876,5.6410020283863265,30675.351344425337,1.8970135205357945
kitti_orbslam2_07.txt,3.84591633049691,2.1325123373481816,2.112826549209294,0.16082672202874446,2.278807245776579,2082.377947824939,0.8033390283445921
